,product_code,expiry_date,product_short_desc_storage,product_packaging,product_prescription_reco,supplier,supplier_country,batch_number,product_description_storage_raw
85,DORARITO1T2,2027-01-31,RITONAVIR [r],100 mg,comp.,AbbVie Deutschland GmbH & Co. KG,Knollstrasse,,"RITONAVIR [r], 100 mg, comp.(AbbVie Deutschland GmbH & Co. KG, Knollstrasse, 67061 Ludwigshafen, Germany)"
86,DORAHRIF5TD1,2027-07-31,H 50 mg / R 75 mg,comp. disp.,blister,OXALIS LABS,INDIA,,"H 50 mg / R 75 mg, comp. disp., blister(OXALIS LABS, INDIA)"
87,DORAHZRI5TD1,2027-07-31,H 50 mg / Z 150 mg / R 75 mg,comp. disp.,blister,OXALIS LABS,INDIA,,"H 50 mg / Z 150 mg / R 75 mg, comp. disp., blister(OXALIS LABS, INDIA)"
89,DORAEFAV6T-,2028-08-31,EFAVIRENZ [EFV],600 mg,comp.,Aurobindo Pharma Limited,India,,"EFAVIRENZ [EFV], 600 mg, comp.(Aurobindo Pharma Limited, India)"
90,DINJWATE1A-,2027-05-31,EAU pour injection,10 ml,amp. plastique,Otsuka Pceutical,India,,"EAU pour injection, 10 ml, amp. plastique(Otsuka Pceutical , India)"
93,DORAEFAV6T-,2028-06-30,EFAVIRENZ [EFV],600 mg,comp.,Aurobindo Pharma Limited,India,,"EFAVIRENZ [EFV], 600 mg, comp.(Aurobindo Pharma Limited, India)"
96,DINJSTRE1V-,2028-12-31,STREPTOMYCINE sulfate,éq. 1 g base,poudre,Lab. REIG JOFRE,SPAIN,,"STREPTOMYCINE sulfate, éq. 1 g base, poudre, fl.(Lab. REIG JOFRE, SPAIN)"
97,DINJSTRE1V-,2029-01-31,STREPTOMYCINE sulfate,éq. 1 g base,poudre,Lab. REIG JOFRE,SPAIN,,"STREPTOMYCINE sulfate, éq. 1 g base, poudre, fl.(Lab. REIG JOFRE, SPAIN)"
98,DORAABLA2T3,2027-09-30,ABC 600 mg / 3TC 300 mg,comp.,,MYLAN LAB LTD,INDIA,,"ABC 600 mg / 3TC 300 mg, comp.(MYLAN LAB LTD,INDIA)"
99,DORALAMI1T-,2028-06-30,LAMIVUDINE [3TC],150 mg,comp.,MACLEODS PHARMACEUTICAL LIMITED,INDIA,,"LAMIVUDINE [3TC], 150 mg, comp.(MACLEODS PHARMACEUTICAL LIMITED,INDIA)"
100,DORAATVR3T-,2028-07-31,ATV 300 mg / r 100 mg,comp.,,MYLAN LAB LTD,INDIA,,"ATV 300 mg / r 100 mg, comp.(MYLAN LAB LTD,INDIA)"
101,DORANEVI2T-,2029-10-31,NEVIRAPINE [NVP],200 mg,comp.,MYLAN LAB LTD,INDIA,,"NEVIRAPINE [NVP], 200 mg, comp. (MYLAN LAB LTD,INDIA)"
102,DORADARU6T-,2027-09-30,DARUNAVIR éthanolate [DRV],éq. 600 mg base,comp.,HETERO LABS Ltd,India,,"DARUNAVIR éthanolate [DRV], éq. 600 mg base, comp.(HETERO LABS Ltd, India)"
105,DORAABLA2T3,2028-01-31,ABC 600 mg / 3TC 300 mg,comp.,,MYLAN LAB LTD,INDIA,3095052,"ABC 600 mg / 3TC 300 mg, comp.(MYLAN LAB LTD,INDIA):3095052"
